id,minute,second,team,player,start_x,start_y,end_x,end_y,pass_length_m,pass_angle_rad,pass_type,pass_height,pass_outcome,pass_success,defenders_near_5m,teammates_near_5m,defenders_near_10m,teammates_near_10m
62b069d0-524b-47b2-80ba-8378d9493763,13,38,Werder Bremen,Christian Groß,20,61.2,23.9,76.8,16.08011193990887,1.3258176636680326,Unknown,Ground Pass,Complete,1,0,1,0,1
e97fabf8-b093-4e1d-906b-d96496d9ed89,13,41,Werder Bremen,Julián Malatini,25.2,77.8,58,66,34.85799764759875,-0.3453396445021489,Unknown,High Pass,Incomplete,0,0,0,0,0
e90e1d41-2a5c-4f3f-82d2-14ff96bb7566,13,47,Bayer Leverkusen,Edmond Fayçal Tapsoba,41.5,12.7,42.9,20.2,7.629547824084989,1.3862535296042822,Recovery,Ground Pass,Complete,1,0,0,0,0
b288cd9b-c696-4a73-af22-e0f8d1bdb182,13,50,Bayer Leverkusen,Granit Xhaka,43.1,21.8,30.1,23.9,13.168523075880605,2.9814376924677277,Unknown,Ground Pass,Complete,1,0,0,0,2
0d3f9d25-06bb-4773-81cd-56f065226fc6,13,54,Bayer Leverkusen,Jonathan Tah,27.5,19.5,35,4.4,16.86001186239203,-1.1098012314670949,Unknown,Ground Pass,Complete,1,0,0,0,1
12461c6d-f6a2-4091-8a1c-b2687eb81dd2,13,55,Bayer Leverkusen,Piero Martín Hincapié Reyna,35,4.4,34.7,12,7.605918747922567,1.6102495278919358,Unknown,Ground Pass,Complete,1,0,0,2,2
eae5c18e-e52d-4c88-86dc-48ca3e654980,13,56,Bayer Leverkusen,Robert Andrich,34.7,12,48.9,5.4,15.658863304850703,-0.43508395116204623,Unknown,Ground Pass,Unknown,0,0,0,0,0
6230747a-5506-47b9-b5b6-4ce2f4b1be6d,14,8,Bayer Leverkusen,Robert Andrich,49.9,5.7,48.6,21,15.355129436120036,1.655560055907514,Free Kick,Ground Pass,Complete,1,0,0,0,0
23eb38c9-395b-4e0e-ab70-5eb412d4bb41,14,11,Bayer Leverkusen,Edmond Fayçal Tapsoba,50.2,25.7,50.2,53.5,27.8,1.5707963267948966,Unknown,Ground Pass,Complete,1,0,0,0,1
95226b2e-abee-4323-80cd-497e629b64b6,14,15,Bayer Leverkusen,Odilon Kossonou,61.1,57.7,70.2,68.7,14.276203977248295,0.8796454791546601,Unknown,Ground Pass,Complete,1,0,0,0,0
4d6d8231-e1ab-4177-a36d-17a238ec88c0,14,17,Bayer Leverkusen,Nathan Tella,71.3,69.2,57.1,62.9,15.534799644668738,-2.7240219186887367,Unknown,Ground Pass,Complete,1,0,1,0,1
c5d00345-a655-467c-8747-2abcb40f56f7,14,19,Bayer Leverkusen,Odilon Kossonou,56.6,61.6,49.1,50,13.813399291991818,-2.1447436310642027,Unknown,Ground Pass,Complete,1,0,1,0,1
a3b68cdc-292b-47cb-800b-3397aecebd27,14,20,Bayer Leverkusen,Jonathan Tah,49.9,51.5,22,49.2,27.994642344563,-3.05934136510331,Unknown,Ground Pass,Complete,1,0,0,0,0
9a67847e-7068-4d0d-ba94-f6547680ac63,14,24,Bayer Leverkusen,Lukáš Hrádecký,22.8,45.5,36.6,20.5,28.555910071296974,-1.0664189041220251,Unknown,Ground Pass,Complete,1,0,0,0,1
868ea21c-a371-4ba3-a2eb-a7712c4c71ee,14,30,Bayer Leverkusen,Edmond Fayçal Tapsoba,47.8,19.2,64.2,17.1,16.53390456002454,-0.12735573572760345,Unknown,Ground Pass,Complete,1,0,0,0,0
8d60fed0-ceb7-47ec-b390-3f5abdcfbae2,14,31,Bayer Leverkusen,Amine Adli,64.7,17.1,50.7,20,14.297202523570826,2.9373384907234126,Unknown,Ground Pass,Complete,1,0,1,0,1
04c4135d-6edb-4f52-a6a2-08dc7cd3bb3b,14,35,Bayer Leverkusen,Edmond Fayçal Tapsoba,50.7,20,56.1,34.5,15.47287949930458,1.2142949415850988,Unknown,Ground Pass,Complete,1,1,0,1,2
bd07772f-1bce-49e9-ab64-1e4852cc9b88,14,36,Bayer Leverkusen,Robert Andrich,56.1,34.5,48.1,41.6,10.696261028976435,2.415726710267593,Unknown,Ground Pass,Complete,1,0,1,0,1
40e717ae-d791-442e-953b-0eaff5bdc645,14,39,Bayer Leverkusen,Jonathan Tah,48.9,44.2,70.7,67.9,32.20139748520241,0.8271321585301544,Unknown,Ground Pass,Complete,1,0,1,0,1
985a9a1c-0d87-4219-ac36-31cb88148ad0,14,41,Bayer Leverkusen,Odilon Kossonou,70,71.7,70,63.5,8.200000000000003,-1.5707963267948966,Unknown,Ground Pass,Complete,1,0,0,2,3
61bb5ebb-b4f9-46ae-abfc-e1ee759d3dca,14,42,Bayer Leverkusen,Granit Xhaka,70,63.5,77.2,63.7,7.202777242147645,0.02777063659342142,Unknown,Ground Pass,Complete,1,1,1,3,2
9e64c30d-e434-484d-85c0-074fa69bad5c,14,45,Werder Bremen,Milos Veljkovic,40.8,20.3,44,34.6,14.653668482670133,1.3506469971023196,Unknown,Ground Pass,Complete,1,0,1,2,2
092f9c03-4ba6-4d60-b268-6f51371e673a,14,48,Werder Bremen,Marvin Ducksch,55.4,24,56.7,11.7,12.368508398347798,-1.465496197230848,Recovery,Ground Pass,Complete,1,0,0,0,1
84affe5a-b100-44eb-b11c-967edfd8314c,14,50,Werder Bremen,Romano Schmid,56.7,11.1,75.4,29.6,26.304752422328555,0.7800218711117394,Unknown,Ground Pass,Incomplete,0,0,0,0,0
b8896baa-b379-49ec-b8b6-7291f2dc1bea,14,52,Bayer Leverkusen,Edmond Fayçal Tapsoba,44.7,50.5,15.1,43.9,30.32688576164721,-2.92220840025559,Recovery,Ground Pass,Complete,1,0,0,0,0
2997aac8-822a-4670-91b7-75d444e2b957,14,55,Bayer Leverkusen,Lukáš Hrádecký,14,46.6,28.8,54.3,16.683225107874076,0.47973201268711124,Unknown,Ground Pass,Complete,1,0,0,1,1
009fe018-1376-4692-a968-d3f83ee605c7,14,58,Bayer Leverkusen,Jonathan Tah,46.8,60.3,65,62.4,18.320753259623366,0.11487660541689919,Unknown,Ground Pass,Complete,1,0,0,0,0
0e27bc1a-04ef-42c4-a700-9e67a9576eae,15,4,Bayer Leverkusen,Granit Xhaka,73.5,63.5,81.4,68.4,9.296235797353686,0.5551785761206047,Unknown,Ground Pass,Complete,1,0,1,4,3
33c1f46d-5376-47e0-8015-6489aceb2c3e,15,7,Bayer Leverkusen,Jonas Hofmann,89.2,68.4,92,59.3,9.521029356114818,-1.272297395208718,Unknown,Ground Pass,Incomplete,0,0,1,3,4
1ecf2cb0-0668-4356-b121-b050f72eb811,15,11,Bayer Leverkusen,Jonas Hofmann,105.9,68.4,115.4,39.5,30.421374064956375,-1.2532037525939312,Unknown,High Pass,Pass Offside,0,1,1,4,2
e32a230b-2518-4a85-8401-0af466434b05,15,35,Werder Bremen,Michael Zetterer,5.2,38.8,22.1,54.9,23.341379565055707,0.761160486532711,Free Kick,Ground Pass,Complete,1,0,0,0,0
57360947-3aa7-4065-8e5f-df14227f4553,15,41,Werder Bremen,Christian Groß,24.7,54.9,15.8,34.9,21.890865674979597,-1.9894844782332581,Unknown,Ground Pass,Complete,1,0,1,0,1
ca08225c-1b17-463c-ad19-97c58dc35e0e,15,44,Werder Bremen,Milos Veljkovic,15.6,32.5,27.8,5,30.084713726409298,-1.1532469886757613,Unknown,Ground Pass,Complete,1,0,0,0,1
758d45eb-e099-4b92-acac-ef570260faca,15,46,Werder Bremen,Felix Agu,27.8,7.6,28.9,19.3,11.751595636338072,1.4770547852506484,Unknown,Ground Pass,Complete,1,0,0,2,2
ba668b0b-36da-4fbb-99a4-1a5b7d7956d0,15,47,Werder Bremen,Milos Veljkovic,29.7,19.5,33.5,23.2,5.303772242470448,0.7720656201033025,Unknown,Ground Pass,Complete,1,1,1,2,2
